Periodo,TIPO DE TRANSPORTE,Ciudad,Total
2012-01-01,autobus,Madrid,36.564
2012-02-01,autobus,Madrid,36.692
2012-03-01,autobus,Madrid,38.554
2012-04-01,autobus,Madrid,33.174
2012-05-01,autobus,Madrid,37.975
2012-06-01,autobus,Madrid,36.66
2012-07-01,autobus,Madrid,29.267
2012-08-01,autobus,Madrid,20.324
2012-09-01,autobus,Madrid,31.025
2012-10-01,autobus,Madrid,37.996
2012-11-01,autobus,Madrid,34.716
2012-12-01,autobus,Madrid,32.54
2013-01-01,autobus,Madrid,34.681
2013-02-01,autobus,Madrid,34.103
2013-03-01,autobus,Madrid,32.87
2013-04-01,autobus,Madrid,38.22
2013-05-01,autobus,Madrid,36.824
2013-06-01,autobus,Madrid,35.296
2013-07-01,autobus,Madrid,30.117
2013-08-01,autobus,Madrid,19.959
2013-09-01,autobus,Madrid,32.234
2013-10-01,autobus,Madrid,39.719
2013-11-01,autobus,Madrid,36.362
2013-12-01,autobus,Madrid,33.717
2014-01-01,autobus,Madrid,34.954
2014-02-01,autobus,Madrid,34.22
2014-03-01,autobus,Madrid,37.889
2014-04-01,autobus,Madrid,34.197
2014-05-01,autobus,Madrid,36.167
2014-06-01,autobus,Madrid,34.455
2014-07-01,autobus,Madrid,30.125
2014-08-01,autobus,Madrid,19.541
2014-09-01,autobus,Madrid,32.536
2014-10-01,autobus,Madrid,39.054
2014-11-01,autobus,Madrid,34.902
2014-12-01,autobus,Madrid,34.201
2015-01-01,autobus,Madrid,33.526
2015-02-01,autobus,Madrid,33.522
2015-03-01,autobus,Madrid,36.169
2015-04-01,autobus,Madrid,35.134
2015-05-01,autobus,Madrid,36.498
2015-06-01,autobus,Madrid,34.924
2015-07-01,autobus,Madrid,30.046
2015-08-01,autobus,Madrid,21.172
2015-09-01,autobus,Madrid,33.496
2015-10-01,autobus,Madrid,38.16
2015-11-01,autobus,Madrid,37.444
2015-12-01,autobus,Madrid,35.832
2016-01-01,autobus,Madrid,34.563
2016-02-01,autobus,Madrid,36.743
2016-03-01,autobus,Madrid,35.969
2016-04-01,autobus,Madrid,38.517
2016-05-01,autobus,Madrid,38.263
2016-06-01,autobus,Madrid,37.93
2016-07-01,autobus,Madrid,32.337
2016-08-01,autobus,Madrid,24.763
2016-09-01,autobus,Madrid,38.039
2016-10-01,autobus,Madrid,40.354
2016-11-01,autobus,Madrid,37.794
2016-12-01,autobus,Madrid,34.838
2017-01-01,autobus,Madrid,35.612
2017-02-01,autobus,Madrid,36.93
2017-03-01,autobus,Madrid,41.156
2017-04-01,autobus,Madrid,33.883
2017-05-01,autobus,Madrid,38.632
2017-06-01,autobus,Madrid,37.393
2017-07-01,autobus,Madrid,33.372
2017-08-01,autobus,Madrid,25.049
2017-09-01,autobus,Madrid,34.671
2017-10-01,autobus,Madrid,39.241
2017-11-01,autobus,Madrid,38.138
2017-12-01,autobus,Madrid,33.854
2018-01-01,autobus,Madrid,36.535
2018-02-01,autobus,Madrid,34.932
2018-03-01,autobus,Madrid,35.181
2018-04-01,autobus,Madrid,37.321
2018-05-01,autobus,Madrid,37.848
2018-06-01,autobus,Madrid,36.909
2018-07-01,autobus,Madrid,30.611
2018-08-01,autobus,Madrid,22.84
2018-09-01,autobus,Madrid,34.387
2018-10-01,autobus,Madrid,40.495
2018-11-01,autobus,Madrid,37.955
2018-12-01,autobus,Madrid,35.437
2019-01-01,autobus,Madrid,38.039
2019-02-01,autobus,Madrid,38.459
2019-03-01,autobus,Madrid,41.249
2019-04-01,autobus,Madrid,36.739
2019-05-01,autobus,Madrid,40.483
2019-06-01,autobus,Madrid,38.405
2019-07-01,autobus,Madrid,32.858
2019-08-01,autobus,Madrid,22.921
2019-09-01,autobus,Madrid,36.465
2019-10-01,autobus,Madrid,43.1
2019-11-01,autobus,Madrid,38.38
2019-12-01,autobus,Madrid,33.032
2020-01-01,autobus,Madrid,38.995
2020-02-01,autobus,Madrid,40.902
2020-03-01,autobus,Madrid,17.849
2020-04-01,autobus,Madrid,3.117
2020-05-01,autobus,Madrid,5.995
2020-06-01,autobus,Madrid,14.702
2020-07-01,autobus,Madrid,18.469
2020-08-01,autobus,Madrid,14.041
2020-09-01,autobus,Madrid,19.775
2020-10-01,autobus,Madrid,22.732
2020-11-01,autobus,Madrid,22.532
2020-12-01,autobus,Madrid,22.561
2021-01-01,autobus,Madrid,14.364
2021-02-01,autobus,Madrid,21.518
2021-03-01,autobus,Madrid,25.227
2021-04-01,autobus,Madrid,24.705
2021-05-01,autobus,Madrid,26.237
2021-06-01,autobus,Madrid,27.104
2021-07-01,autobus,Madrid,23.596
2021-08-01,autobus,Madrid,17.087
2021-09-01,autobus,Madrid,27.407
2021-10-01,autobus,Madrid,30.639
2021-11-01,autobus,Madrid,31.098
2021-12-01,autobus,Madrid,27.69
2022-01-01,autobus,Madrid,26.723
2022-02-01,autobus,Madrid,29.768
2022-03-01,autobus,Madrid,35.376
2022-04-01,autobus,Madrid,30.259
2022-05-01,autobus,Madrid,33.681
2022-06-01,autobus,Madrid,32.514
2022-07-01,autobus,Madrid,25.225
2022-08-01,autobus,Madrid,20.453
2022-09-01,autobus,Madrid,33.935
2022-10-01,autobus,Madrid,36.342
2022-11-01,autobus,Madrid,36.084
2022-12-01,autobus,Madrid,32.808
2023-01-01,autobus,Madrid,34.669
2023-02-01,autobus,Madrid,35.223
2023-03-01,autobus,Madrid,40.368
2023-04-01,autobus,Madrid,35.047
2023-05-01,autobus,Madrid,39.237
2023-06-01,autobus,Madrid,40.078
2023-07-01,autobus,Madrid,35.785
2023-08-01,autobus,Madrid,27.975
2023-09-01,autobus,Madrid,42.464
2023-10-01,autobus,Madrid,44.113
2023-11-01,autobus,Madrid,41.982
2023-12-01,autobus,Madrid,37.694
2024-01-01,autobus,Madrid,40.238
2024-02-01,autobus,Madrid,41.474
2024-03-01,autobus,Madrid,39.069
2024-04-01,autobus,Madrid,44.205
2024-05-01,autobus,Madrid,42.456
2024-06-01,autobus,Madrid,40.315
2024-07-01,autobus,Madrid,34.079
2024-08-01,autobus,Madrid,25.805
2024-09-01,autobus,Madrid,40.13
