Periodo,TIPO DE TRANSPORTE,Ciudad,Total
2012-03-31,autobus,Madrid,111.81
2012-06-30,autobus,Madrid,107.809
2012-09-30,autobus,Madrid,80.616
2012-12-31,autobus,Madrid,105.25200000000001
2013-03-31,autobus,Madrid,101.654
2013-06-30,autobus,Madrid,110.34
2013-09-30,autobus,Madrid,82.31
2013-12-31,autobus,Madrid,109.798
2014-03-31,autobus,Madrid,107.063
2014-06-30,autobus,Madrid,104.819
2014-09-30,autobus,Madrid,82.202
2014-12-31,autobus,Madrid,108.15700000000001
2015-03-31,autobus,Madrid,103.217
2015-06-30,autobus,Madrid,106.556
2015-09-30,autobus,Madrid,84.714
2015-12-31,autobus,Madrid,111.436
2016-03-31,autobus,Madrid,107.275
2016-06-30,autobus,Madrid,114.71000000000001
2016-09-30,autobus,Madrid,95.13900000000001
2016-12-31,autobus,Madrid,112.98599999999999
2017-03-31,autobus,Madrid,113.69800000000001
2017-06-30,autobus,Madrid,109.908
2017-09-30,autobus,Madrid,93.092
2017-12-31,autobus,Madrid,111.233
2018-03-31,autobus,Madrid,106.648
2018-06-30,autobus,Madrid,112.078
2018-09-30,autobus,Madrid,87.838
2018-12-31,autobus,Madrid,113.887
2019-03-31,autobus,Madrid,117.74700000000001
2019-06-30,autobus,Madrid,115.627
2019-09-30,autobus,Madrid,92.244
2019-12-31,autobus,Madrid,114.512
2020-03-31,autobus,Madrid,97.746
2020-06-30,autobus,Madrid,23.814
2020-09-30,autobus,Madrid,52.285
2020-12-31,autobus,Madrid,67.825
2021-03-31,autobus,Madrid,61.109
2021-06-30,autobus,Madrid,78.04599999999999
2021-09-30,autobus,Madrid,68.09
2021-12-31,autobus,Madrid,89.42699999999999
2022-03-31,autobus,Madrid,91.86699999999999
2022-06-30,autobus,Madrid,96.45400000000001
2022-09-30,autobus,Madrid,79.613
2022-12-31,autobus,Madrid,105.23400000000001
2023-03-31,autobus,Madrid,110.25999999999999
2023-06-30,autobus,Madrid,114.362
2023-09-30,autobus,Madrid,106.22399999999999
2023-12-31,autobus,Madrid,123.789
2024-03-31,autobus,Madrid,120.781
2024-06-30,autobus,Madrid,126.976
2024-09-30,autobus,Madrid,100.01400000000001
