Periodo,Total,TIPO DE TRANSPORTE,Ciudad
2012-01-01,90.899,autobus y metro,Madrid
2012-02-01,91.97200000000001,autobus y metro,Madrid
2012-03-01,95.273,autobus y metro,Madrid
2012-04-01,83.169,autobus y metro,Madrid
2012-05-01,92.749,autobus y metro,Madrid
2012-06-01,88.67599999999999,autobus y metro,Madrid
2012-07-01,74.24,autobus y metro,Madrid
2012-08-01,52.607,autobus y metro,Madrid
2012-09-01,77.842,autobus y metro,Madrid
2012-10-01,93.38300000000001,autobus y metro,Madrid
2012-11-01,85.78200000000001,autobus y metro,Madrid
2012-12-01,80.447,autobus y metro,Madrid
2013-01-01,83.649,autobus y metro,Madrid
2013-02-01,82.834,autobus y metro,Madrid
2013-03-01,79.134,autobus y metro,Madrid
2013-04-01,90.193,autobus y metro,Madrid
2013-05-01,86.38499999999999,autobus y metro,Madrid
2013-06-01,82.62700000000001,autobus y metro,Madrid
2013-07-01,71.456,autobus y metro,Madrid
2013-08-01,48.22,autobus y metro,Madrid
2013-09-01,76.479,autobus y metro,Madrid
2013-10-01,92.604,autobus y metro,Madrid
2013-11-01,86.262,autobus y metro,Madrid
2013-12-01,82.152,autobus y metro,Madrid
2014-01-01,83.572,autobus y metro,Madrid
2014-02-01,81.658,autobus y metro,Madrid
2014-03-01,89.75800000000001,autobus y metro,Madrid
2014-04-01,81.001,autobus y metro,Madrid
2014-05-01,85.055,autobus y metro,Madrid
2014-06-01,80.726,autobus y metro,Madrid
2014-07-01,72.77799999999999,autobus y metro,Madrid
2014-08-01,48.479,autobus y metro,Madrid
2014-09-01,78.856,autobus y metro,Madrid
2014-10-01,93.082,autobus y metro,Madrid
2014-11-01,84.18,autobus y metro,Madrid
2014-12-01,83.95,autobus y metro,Madrid
2015-01-01,81.126,autobus y metro,Madrid
2015-02-01,80.88499999999999,autobus y metro,Madrid
2015-03-01,86.52699999999999,autobus y metro,Madrid
2015-04-01,83.943,autobus y metro,Madrid
2015-05-01,86.217,autobus y metro,Madrid
2015-06-01,82.418,autobus y metro,Madrid
2015-07-01,73.19,autobus y metro,Madrid
2015-08-01,51.150000000000006,autobus y metro,Madrid
2015-09-01,80.69800000000001,autobus y metro,Madrid
2015-10-01,92.77199999999999,autobus y metro,Madrid
2015-11-01,89.91,autobus y metro,Madrid
2015-12-01,86.82300000000001,autobus y metro,Madrid
2016-01-01,82.81700000000001,autobus y metro,Madrid
2016-02-01,88.18299999999999,autobus y metro,Madrid
2016-03-01,85.932,autobus y metro,Madrid
2016-04-01,91.682,autobus y metro,Madrid
2016-05-01,90.639,autobus y metro,Madrid
2016-06-01,87.465,autobus y metro,Madrid
2016-07-01,72.95500000000001,autobus y metro,Madrid
2016-08-01,56.214,autobus y metro,Madrid
2016-09-01,86.386,autobus y metro,Madrid
2016-10-01,93.401,autobus y metro,Madrid
2016-11-01,91.457,autobus y metro,Madrid
2016-12-01,87.735,autobus y metro,Madrid
2017-01-01,87.982,autobus y metro,Madrid
2017-02-01,89.149,autobus y metro,Madrid
2017-03-01,98.67,autobus y metro,Madrid
2017-04-01,83.80199999999999,autobus y metro,Madrid
2017-05-01,94.18199999999999,autobus y metro,Madrid
2017-06-01,92.02600000000001,autobus y metro,Madrid
2017-07-01,79.372,autobus y metro,Madrid
2017-08-01,60.195,autobus y metro,Madrid
2017-09-01,87.113,autobus y metro,Madrid
2017-10-01,98.392,autobus y metro,Madrid
2017-11-01,95.859,autobus y metro,Madrid
2017-12-01,87.594,autobus y metro,Madrid
2018-01-01,92.64599999999999,autobus y metro,Madrid
2018-02-01,90.368,autobus y metro,Madrid
2018-03-01,91.746,autobus y metro,Madrid
2018-04-01,95.68,autobus y metro,Madrid
2018-05-01,96.144,autobus y metro,Madrid
2018-06-01,92.562,autobus y metro,Madrid
2018-07-01,79.367,autobus y metro,Madrid
2018-08-01,57.67100000000001,autobus y metro,Madrid
2018-09-01,87.999,autobus y metro,Madrid
2018-10-01,103.40199999999999,autobus y metro,Madrid
2018-11-01,98.049,autobus y metro,Madrid
2018-12-01,92.027,autobus y metro,Madrid
2019-01-01,96.644,autobus y metro,Madrid
2019-02-01,95.809,autobus y metro,Madrid
2019-03-01,102.71600000000001,autobus y metro,Madrid
2019-04-01,92.006,autobus y metro,Madrid
2019-05-01,98.044,autobus y metro,Madrid
2019-06-01,95.30199999999999,autobus y metro,Madrid
2019-07-01,83.80799999999999,autobus y metro,Madrid
2019-08-01,59.05,autobus y metro,Madrid
2019-09-01,92.73400000000001,autobus y metro,Madrid
2019-10-01,109.251,autobus y metro,Madrid
2019-11-01,101.16499999999999,autobus y metro,Madrid
2019-12-01,91.077,autobus y metro,Madrid
2020-01-01,98.6,autobus y metro,Madrid
2020-02-01,101.312,autobus y metro,Madrid
2020-03-01,44.265,autobus y metro,Madrid
2020-04-01,7.982,autobus y metro,Madrid
2020-05-01,15.639,autobus y metro,Madrid
2020-06-01,36.48,autobus y metro,Madrid
2020-07-01,45.535,autobus y metro,Madrid
2020-08-01,34.748000000000005,autobus y metro,Madrid
2020-09-01,47.635999999999996,autobus y metro,Madrid
2020-10-01,52.799,autobus y metro,Madrid
2020-11-01,53.025,autobus y metro,Madrid
2020-12-01,53.494,autobus y metro,Madrid
2021-01-01,43.632000000000005,autobus y metro,Madrid
2021-02-01,51.817,autobus y metro,Madrid
2021-03-01,60.271,autobus y metro,Madrid
2021-04-01,58.504,autobus y metro,Madrid
