Periodo,Total,TIPO DE TRANSPORTE,Ciudad
2012-03-31,278.144,autobus y metro,Madrid
2012-06-30,264.594,autobus y metro,Madrid
2012-09-30,204.689,autobus y metro,Madrid
2012-12-31,259.612,autobus y metro,Madrid
2013-03-31,245.61700000000002,autobus y metro,Madrid
2013-06-30,259.205,autobus y metro,Madrid
2013-09-30,196.155,autobus y metro,Madrid
2013-12-31,261.01800000000003,autobus y metro,Madrid
2014-03-31,254.988,autobus y metro,Madrid
2014-06-30,246.782,autobus y metro,Madrid
2014-09-30,200.113,autobus y metro,Madrid
2014-12-31,261.212,autobus y metro,Madrid
2015-03-31,248.53799999999998,autobus y metro,Madrid
2015-06-30,252.578,autobus y metro,Madrid
2015-09-30,205.038,autobus y metro,Madrid
2015-12-31,269.505,autobus y metro,Madrid
2016-03-31,256.932,autobus y metro,Madrid
2016-06-30,269.786,autobus y metro,Madrid
2016-09-30,215.555,autobus y metro,Madrid
2016-12-31,272.59299999999996,autobus y metro,Madrid
2017-03-31,275.801,autobus y metro,Madrid
2017-06-30,270.01,autobus y metro,Madrid
2017-09-30,226.68,autobus y metro,Madrid
2017-12-31,281.84499999999997,autobus y metro,Madrid
2018-03-31,274.76,autobus y metro,Madrid
2018-06-30,284.386,autobus y metro,Madrid
2018-09-30,225.037,autobus y metro,Madrid
2018-12-31,293.478,autobus y metro,Madrid
2019-03-31,295.169,autobus y metro,Madrid
2019-06-30,285.352,autobus y metro,Madrid
2019-09-30,235.59199999999998,autobus y metro,Madrid
2019-12-31,301.493,autobus y metro,Madrid
2020-03-31,244.177,autobus y metro,Madrid
2020-06-30,60.101,autobus y metro,Madrid
2020-09-30,127.919,autobus y metro,Madrid
2020-12-31,159.31799999999998,autobus y metro,Madrid
2021-03-31,155.72,autobus y metro,Madrid
2021-06-30,185.664,autobus y metro,Madrid
2021-09-30,169.346,autobus y metro,Madrid
2021-12-31,228.24699999999999,autobus y metro,Madrid
2022-03-31,229.187,autobus y metro,Madrid
2022-06-30,241.526,autobus y metro,Madrid
2022-09-30,203.441,autobus y metro,Madrid
2022-12-31,270.683,autobus y metro,Madrid
2023-03-31,281.506,autobus y metro,Madrid
2023-06-30,284.022,autobus y metro,Madrid
2023-09-30,245.39499999999998,autobus y metro,Madrid
2023-12-31,306.02,autobus y metro,Madrid
2024-03-31,300.26099999999997,autobus y metro,Madrid
2024-06-30,313.032,autobus y metro,Madrid
2024-09-30,251.858,autobus y metro,Madrid
