Periodo,TIPO DE TRANSPORTE,Ciudad,Total
2012-03-31,metro,Madrid,166.334
2012-06-30,metro,Madrid,156.785
2012-09-30,metro,Madrid,124.07300000000001
2012-12-31,metro,Madrid,154.36
2013-03-31,metro,Madrid,143.96300000000002
2013-06-30,metro,Madrid,148.865
2013-09-30,metro,Madrid,113.845
2013-12-31,metro,Madrid,151.22
2014-03-31,metro,Madrid,147.925
2014-06-30,metro,Madrid,141.963
2014-09-30,metro,Madrid,117.911
2014-12-31,metro,Madrid,153.055
2015-03-31,metro,Madrid,145.321
2015-06-30,metro,Madrid,146.022
2015-09-30,metro,Madrid,120.324
2015-12-31,metro,Madrid,158.06900000000002
2016-03-31,metro,Madrid,149.65699999999998
2016-06-30,metro,Madrid,155.076
2016-09-30,metro,Madrid,120.416
2016-12-31,metro,Madrid,159.607
2017-03-31,metro,Madrid,162.103
2017-06-30,metro,Madrid,160.102
2017-09-30,metro,Madrid,133.588
2017-12-31,metro,Madrid,170.612
2018-03-31,metro,Madrid,168.112
2018-06-30,metro,Madrid,172.308
2018-09-30,metro,Madrid,137.199
2018-12-31,metro,Madrid,179.591
2019-03-31,metro,Madrid,177.422
2019-06-30,metro,Madrid,169.725
2019-09-30,metro,Madrid,143.348
2019-12-31,metro,Madrid,186.981
2020-03-31,metro,Madrid,146.43099999999998
2020-06-30,metro,Madrid,36.287
2020-09-30,metro,Madrid,75.634
2020-12-31,metro,Madrid,91.493
2021-03-31,metro,Madrid,94.61099999999999
2021-06-30,metro,Madrid,107.618
2021-09-30,metro,Madrid,101.256
2021-12-31,metro,Madrid,138.82
2022-03-31,metro,Madrid,137.32
2022-06-30,metro,Madrid,145.072
2022-09-30,metro,Madrid,123.828
2022-12-31,metro,Madrid,165.449
2023-03-31,metro,Madrid,171.246
2023-06-30,metro,Madrid,169.66
2023-09-30,metro,Madrid,139.171
2023-12-31,metro,Madrid,182.231
2024-03-31,metro,Madrid,179.48
2024-06-30,metro,Madrid,186.05599999999998
2024-09-30,metro,Madrid,151.844
