Periodo,Total
2012-01,36.564
2012-02,36.692
2012-03,38.554
2012-04,33.174
2012-05,37.975
2012-06,36.66
2012-07,29.267
2012-08,20.324
2012-09,31.025
2012-10,37.996
2012-11,34.716
2012-12,32.54
2013-01,34.681
2013-02,34.103
2013-03,32.87
2013-04,38.22
2013-05,36.824
2013-06,35.296
2013-07,30.117
2013-08,19.959
2013-09,32.234
2013-10,39.719
2013-11,36.362
2013-12,33.717
2014-01,34.954
2014-02,34.22
2014-03,37.889
2014-04,34.197
2014-05,36.167
2014-06,34.455
2014-07,30.125
2014-08,19.541
2014-09,32.536
2014-10,39.054
2014-11,34.902
2014-12,34.201
2015-01,33.526
2015-02,33.522
2015-03,36.169
2015-04,35.134
2015-05,36.498
2015-06,34.924
2015-07,30.046
2015-08,21.172
2015-09,33.496
2015-10,38.16
2015-11,37.444
2015-12,35.832
2016-01,34.563
2016-02,36.743
2016-03,35.969
2016-04,38.517
2016-05,38.263
2016-06,37.93
2016-07,32.337
2016-08,24.763
2016-09,38.039
2016-10,40.354
2016-11,37.794
2016-12,34.838
2017-01,35.612
2017-02,36.93
2017-03,41.156
2017-04,33.883
2017-05,38.632
2017-06,37.393
2017-07,33.372
2017-08,25.049
2017-09,34.671
2017-10,39.241
2017-11,38.138
2017-12,33.854
2018-01,36.535
2018-02,34.932
2018-03,35.181
2018-04,37.321
2018-05,37.848
2018-06,36.909
2018-07,30.611
2018-08,22.84
2018-09,34.387
2018-10,40.495
2018-11,37.955
2018-12,35.437
2019-01,38.039
2019-02,38.459
2019-03,41.249
2019-04,36.739
2019-05,40.483
2019-06,38.405
2019-07,32.858
2019-08,22.921
2019-09,36.465
2019-10,43.1
2019-11,38.38
2019-12,33.032
2020-01,38.995
2020-02,40.902
2020-03,17.849
2020-04,3.117
2020-05,5.995
2020-06,14.702
2020-07,18.469
2020-08,14.041
2020-09,19.775
2020-10,22.732
2020-11,22.532
2020-12,22.561
2021-01,14.364
2021-02,21.518
2021-03,25.227
2021-04,24.705
2021-05,26.237
2021-06,27.104
2021-07,23.596
2021-08,17.087
2021-09,27.407
2021-10,30.639
2021-11,31.098
2021-12,27.69
2022-01,26.723
2022-02,29.768
2022-03,35.376
2022-04,30.259
2022-05,33.681
2022-06,32.514
2022-07,25.225
2022-08,20.453
2022-09,33.935
2022-10,36.342
2022-11,36.084
2022-12,32.808
2023-01,34.669
2023-02,35.223
2023-03,40.368
2023-04,35.047
2023-05,39.237
2023-06,40.078
2023-07,35.785
2023-08,27.975
2023-09,42.464
2023-10,44.113
2023-11,41.982
2023-12,37.694
2024-01,40.238
2024-02,41.474
2024-03,39.069
2024-04,44.205
2024-05,42.456
2024-06,40.315
2024-07,34.079
2024-08,25.805
2024-09,40.13
