Periodo,Total
2012Q1,111.81
2012Q2,107.809
2012Q3,80.616
2012Q4,105.252
2013Q1,101.654
2013Q2,110.34
2013Q3,82.31
2013Q4,109.798
2014Q1,107.063
2014Q2,104.819
2014Q3,82.202
2014Q4,108.157
2015Q1,103.217
2015Q2,106.556
2015Q3,84.714
2015Q4,111.436
2016Q1,107.275
2016Q2,114.71
2016Q3,95.139
2016Q4,112.986
2017Q1,113.698
2017Q2,109.908
2017Q3,93.092
2017Q4,111.233
2018Q1,106.648
2018Q2,112.078
2018Q3,87.838
2018Q4,113.887
2019Q1,117.747
2019Q2,115.627
2019Q3,92.244
2019Q4,114.512
2020Q1,97.746
2020Q2,23.814
2020Q3,52.285
2020Q4,67.825
2021Q1,61.109
2021Q2,78.04599999999999
2021Q3,68.09
2021Q4,89.42699999999999
2022Q1,91.867
2022Q2,96.454
2022Q3,79.613
2022Q4,105.234
2023Q1,110.26
2023Q2,114.362
2023Q3,106.224
2023Q4,123.789
2024Q1,120.781
2024Q2,126.976
2024Q3,100.014
