Periodo,Total
2012-01,90.899
2012-02,91.972
2012-03,95.273
2012-04,83.169
2012-05,92.749
2012-06,88.67599999999999
2012-07,74.24
2012-08,52.607
2012-09,77.842
2012-10,93.383
2012-11,85.78200000000001
2012-12,80.447
2013-01,83.649
2013-02,82.834
2013-03,79.134
2013-04,90.193
2013-05,86.38499999999999
2013-06,82.62700000000001
2013-07,71.456
2013-08,48.22
2013-09,76.479
2013-10,92.604
2013-11,86.262
2013-12,82.152
2014-01,83.572
2014-02,81.658
2014-03,89.75800000000001
2014-04,81.001
2014-05,85.055
2014-06,80.726
2014-07,72.77799999999999
2014-08,48.479
2014-09,78.856
2014-10,93.082
2014-11,84.18
2014-12,83.95
2015-01,81.126
2015-02,80.88499999999999
2015-03,86.52699999999999
2015-04,83.943
2015-05,86.217
2015-06,82.418
2015-07,73.19
2015-08,51.150000000000006
2015-09,80.69800000000001
2015-10,92.772
2015-11,89.91
2015-12,86.82300000000001
2016-01,82.81700000000001
2016-02,88.18299999999999
2016-03,85.932
2016-04,91.682
2016-05,90.639
2016-06,87.465
2016-07,72.95500000000001
2016-08,56.214
2016-09,86.386
2016-10,93.401
2016-11,91.457
2016-12,87.735
2017-01,87.982
2017-02,89.149
2017-03,98.67
2017-04,83.80199999999999
2017-05,94.182
2017-06,92.026
2017-07,79.372
2017-08,60.195
2017-09,87.113
2017-10,98.392
2017-11,95.859
2017-12,87.594
2018-01,92.646
2018-02,90.368
2018-03,91.746
2018-04,95.68
2018-05,96.144
2018-06,92.562
2018-07,79.367
2018-08,57.67100000000001
2018-09,87.999
2018-10,103.402
2018-11,98.049
2018-12,92.027
2019-01,96.644
2019-02,95.809
2019-03,102.716
2019-04,92.006
2019-05,98.044
2019-06,95.302
2019-07,83.80799999999999
2019-08,59.05
2019-09,92.734
2019-10,109.251
2019-11,101.165
2019-12,91.077
2020-01,98.6
2020-02,101.312
2020-03,44.265
2020-04,7.982
2020-05,15.639
2020-06,36.48
2020-07,45.535
2020-08,34.748000000000005
2020-09,47.636
2020-10,52.799
2020-11,53.025
2020-12,53.494
2021-01,43.632000000000005
2021-02,51.817
2021-03,60.271
2021-04,58.504
2021-05,62.348
2021-06,64.812
2021-07,57.638000000000005
2021-08,43.086
2021-09,68.622
2021-10,77.842
2021-11,79.42699999999999
2021-12,70.978
2022-01,66.387
2022-02,74.58
2022-03,88.22
2022-04,76.789
2022-05,84.019
2022-06,80.718
2022-07,65.986
2022-08,52.362
2022-09,85.093
2022-10,92.422
2022-11,92.251
2022-12,86.00999999999999
2023-01,89.08699999999999
2023-02,90.558
2023-03,101.861
2023-04,89.14699999999999
2023-05,97.727
2023-06,97.148
2023-07,83.643
2023-08,64.464
2023-09,97.288
2023-10,106.346
2023-11,103.555
2023-12,96.119
2024-01,99.117
2024-02,102.945
2024-03,98.199
2024-04,108.47
2024-05,104.789
2024-06,99.773
2024-07,86.524
2024-08,65.37899999999999
2024-09,99.955
