Periodo,Total
2012Q1,278.144
2012Q2,264.594
2012Q3,204.689
2012Q4,259.612
2013Q1,245.617
2013Q2,259.205
2013Q3,196.155
2013Q4,261.01800000000003
2014Q1,254.988
2014Q2,246.782
2014Q3,200.113
2014Q4,261.212
2015Q1,248.538
2015Q2,252.578
2015Q3,205.038
2015Q4,269.505
2016Q1,256.932
2016Q2,269.786
2016Q3,215.555
2016Q4,272.593
2017Q1,275.801
2017Q2,270.01
2017Q3,226.68
2017Q4,281.845
2018Q1,274.76
2018Q2,284.386
2018Q3,225.037
2018Q4,293.478
2019Q1,295.169
2019Q2,285.352
2019Q3,235.592
2019Q4,301.493
2020Q1,244.177
2020Q2,60.101
2020Q3,127.919
2020Q4,159.31799999999998
2021Q1,155.72
2021Q2,185.664
2021Q3,169.346
2021Q4,228.247
2022Q1,229.187
2022Q2,241.526
2022Q3,203.441
2022Q4,270.683
2023Q1,281.506
2023Q2,284.022
2023Q3,245.395
2023Q4,306.02
2024Q1,300.261
2024Q2,313.032
2024Q3,251.858
