Periodo,Total
2012-01,54.335
2012-02,55.28
2012-03,56.719
2012-04,49.995
2012-05,54.774
2012-06,52.016
2012-07,44.973
2012-08,32.283
2012-09,46.817
2012-10,55.387
2012-11,51.066
2012-12,47.907
2013-01,48.968
2013-02,48.731
2013-03,46.264
2013-04,51.973
2013-05,49.561
2013-06,47.331
2013-07,41.339
2013-08,28.261
2013-09,44.245
2013-10,52.885
2013-11,49.9
2013-12,48.435
2014-01,48.618
2014-02,47.438
2014-03,51.869
2014-04,46.804
2014-05,48.888
2014-06,46.271
2014-07,42.653
2014-08,28.938
2014-09,46.32
2014-10,54.028
2014-11,49.278
2014-12,49.749
2015-01,47.6
2015-02,47.363
2015-03,50.358
2015-04,48.809
2015-05,49.719
2015-06,47.494
2015-07,43.144
2015-08,29.978
2015-09,47.202
2015-10,54.612
2015-11,52.466
2015-12,50.991
2016-01,48.254
2016-02,51.44
2016-03,49.963
2016-04,53.165
2016-05,52.376
2016-06,49.535
2016-07,40.618
2016-08,31.451
2016-09,48.347
2016-10,53.047
2016-11,53.663
2016-12,52.897
2017-01,52.37
2017-02,52.219
2017-03,57.514
2017-04,49.919
2017-05,55.55
2017-06,54.633
2017-07,46.0
2017-08,35.146
2017-09,52.442
2017-10,59.151
2017-11,57.721
2017-12,53.74
2018-01,56.111
2018-02,55.436
2018-03,56.565
2018-04,58.359
2018-05,58.296
2018-06,55.653
2018-07,48.756
2018-08,34.831
2018-09,53.612
2018-10,62.907
2018-11,60.094
2018-12,56.59
2019-01,58.605
2019-02,57.35
2019-03,61.467
2019-04,55.267
2019-05,57.561
2019-06,56.897
2019-07,50.95
2019-08,36.129
2019-09,56.269
2019-10,66.151
2019-11,62.785
2019-12,58.045
2020-01,59.605
2020-02,60.41
2020-03,26.416
2020-04,4.865
2020-05,9.644
2020-06,21.778
2020-07,27.066
2020-08,20.707
2020-09,27.861
2020-10,30.067
2020-11,30.493
2020-12,30.933
2021-01,29.268
2021-02,30.299
2021-03,35.044
2021-04,33.799
2021-05,36.111
2021-06,37.708
2021-07,34.042
2021-08,25.999
2021-09,41.215
2021-10,47.203
2021-11,48.329
2021-12,43.288
2022-01,39.664
2022-02,44.812
2022-03,52.844
2022-04,46.53
2022-05,50.338
2022-06,48.204
2022-07,40.761
2022-08,31.909
2022-09,51.158
2022-10,56.08
2022-11,56.167
2022-12,53.202
2023-01,54.418
2023-02,55.335
2023-03,61.493
2023-04,54.1
2023-05,58.49
2023-06,57.07
2023-07,47.858
2023-08,36.489
2023-09,54.824
2023-10,62.233
2023-11,61.573
2023-12,58.425
2024-01,58.879
2024-02,61.471
2024-03,59.13
2024-04,64.265
2024-05,62.333
2024-06,59.458
2024-07,52.445
2024-08,39.574
2024-09,59.825
